id,display_name,type,primary_unit_id,primary_unit_title,unit_ids,unit_titles,unit_count,phrase_components
fluent,Fluent,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
football,Football,word,p1-u65,Sports,p1-u65,Sports,1,
forget,Forget,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
four,Four,word,p1-u15,Numbers,p1-u15,Numbers,1,
fox,Fox,word,p1-u60,Animals,p1-u60,Animals,1,
france,France,word,p1-u68,Countries,p1-u68,Countries,1,
friday,Friday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
friend,Friend,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
from,From,word,p1-u05,Meet People,p1-u05;p1-u68,Meet People;Countries,2,
frustrate,Frustrate,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
full,Full,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
funny,Funny,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
future,Future,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
g,G,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
garage,Garage,word,p1-u30,My Home,p1-u30,My Home,1,
germany,Germany,word,p1-u68,Countries,p1-u68,Countries,1,
gesture,Gesture,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
get,Get,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
girl,Girl,word,p1-u18,Family & People,p1-u18,Family & People,1,
give,Give,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
giveup,Give Up,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
glasses,Glasses,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
gloves,Gloves,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
go,Go,word,p1-u23,On the Move,p1-u23,On the Move,1,
gold,Gold,word,p1-u27,Colors,p1-u27,Colors,1,
golf,Golf,word,p1-u65,Sports,p1-u65,Sports,1,
good,Good,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
goodmorning,Good Morning,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,good;morning
goodnight,Good Night,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,good;night
grandfather,Grandfather,word,p1-u18,Family & People,p1-u18,Family & People,1,
grandmother,Grandmother,word,p1-u18,Family & People,p1-u18,Family & People,1,
grapes,Grapes,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
gray,Gray,word,p1-u27,Colors,p1-u27,Colors,1,
great,Great,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
green,Green,word,p1-u27,Colors,p1-u27,Colors,1,
guitar,Guitar,word,p1-u66,Music & Art,p1-u66,Music & Art,1,
h,H,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
half,Half,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
halloween,Halloween,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
hands,Hands,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
happy,Happy,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
hard,Hard,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
hardofhearing,Hard Of Hearing,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
hat,Hat,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
hate,Hate,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
have,Have,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
havegoodday,Have A Good Day,phrase,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,have;a;good;day
he,He,word,p1-u03,You & Me,p1-u03,You & Me,1,
head,Head,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
headache,Headache,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
health,Health,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
hear,Hear,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
hearing,Hearing,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
hearingaid,Hearing Aid,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
hello,Hello,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
help,Help,word,p1-u73,Getting Help,p1-u73;p1-u45,Getting Help;Health & Town,2,
here,Here,word,p1-u23,On the Move,p1-u23,On the Move,1,
his,His,word,p1-u03,You & Me,p1-u03,You & Me,1,
history,History,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
hockey,Hockey,word,p1-u65,Sports,p1-u65,Sports,1,
holiday,Holiday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
home,Home,word,p1-u30,My Home,p1-u30,My Home,1,
horse,Horse,word,p1-u60,Animals,p1-u60,Animals,1,
hospital,Hospital,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
hot,Hot,word,p1-u29,Size & Amount,p1-u29;p1-u63,Size & Amount;Weather,2,
hotel,Hotel,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
hour,Hour,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
house,House,word,p1-u30,My Home,p1-u30,My Home,1,
how,How,word,p1-u01,Getting Started,p1-u01;p1-u05,Getting Started;Meet People,2,
howareyou,How Are You,phrase,p1-u01,Getting Started,p1-u01,Getting Started,1,how;are;you
howmany,How Many?,phrase,p1-u05,Meet People,p1-u05,Meet People,1,how;many
howyousignthat,How Do You Sign That,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,how;you;sign
hug,Hug,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
humble,Humble,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
hundred,Hundred,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
hungry,Hungry,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
hurt,Hurt,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
i,I,word,p1-u03,You & Me,p1-u03;p1-u56;p1-u57;p1-u42,You & Me;Getting There;School & Classroom;Body & Wellness,4,
idontunderstand,I Don't Understand,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,i;understand
if,If,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
ilike,I Like,phrase,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,i;like
imangry,I'm Angry,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;angry
imexcited,I'm Excited,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;excited
imfine,I'm Fine,phrase,p1-u01,Getting Started,p1-u01,Getting Started,1,i;fine
imfrom,I'm From ___,phrase,p1-u05,Meet People,p1-u05,Meet People,1,i;from
imgood,I'm Good,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;good
imhappy,I'm Happy,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;happy
imhungry,I'm Hungry,phrase,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,i;hungry
imlearningasl,I'm Learning ASL,phrase,p1-u22,Deaf Culture,p1-u22;p1-u57,Deaf Culture;School & Classroom,2,i;learnasl
imlost,I'm Lost,phrase,p1-u23,On the Move,p1-u23;p1-u56,On the Move;Getting There,2,i;lost
imnervous,I'm Nervous,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;nervous
important,Important,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
imsad,I'm Sad,phrase,p1-u06,Feelings & Emotions,p1-u06;p1-u42,Feelings & Emotions;Body & Wellness,2,i;sad
imscared,I'm Scared,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;scared
imthirsty,I'm Thirsty,phrase,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,i;thirsty
imtired,I'm Tired,phrase,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,i;tired
ineedhelp,I Need Help,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,i;need;help
internet,Internet,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
interpreter,Interpreter,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
introduce,Introduce,word,p1-u05,Meet People,p1-u05,Meet People,1,
isignalittle,I Sign A Little,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,i;sign;little
italy,Italy,word,p1-u68,Countries,p1-u68,Countries,1,
iwant,I Want,phrase,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,i;want
iwantdrink,I Want To Drink,phrase,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,i;want;drink
iwanteat,I Want To Eat,phrase,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,i;want;eat
j,J,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
jacket,Jacket,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
japan,Japan,word,p1-u68,Countries,p1-u68,Countries,1,
jealous,Jealous,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
job,Job,word,p1-u59,Work Life,p1-u59,Work Life,1,
juice,Juice,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
k,K,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
keyboard,Keyboard,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
kiss,Kiss,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
kitchen,Kitchen,word,p1-u30,My Home,p1-u30,My Home,1,
know,Know,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
l,L,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
lamp,Lamp,word,p1-u31,Furniture,p1-u31,Furniture,1,
language,Language,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
laptop,Laptop,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
later,Later,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
lawyer,Lawyer,word,p1-u59,Work Life,p1-u59,Work Life,1,
lazy,Lazy,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
learn,Learn,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
learnasl,Learn ASL,word,p1-u22,Deaf Culture,p1-u22;p1-u57,Deaf Culture;School & Classroom,2,
left,Left,word,p1-u23,On the Move,p1-u23,On the Move,1,
lemon,Lemon,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
less,Less,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
letgo,Let Go,phrase,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,go;letgo
letmesee,Let Me See,phrase,p1-u32,At Home,p1-u32;p1-u71,At Home;Everyday Sayings,2,me;see;letmesee
letter,Letter,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
letteri,Letter I,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
lettuce,Lettuce,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
library,Library,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
light,Light,word,p1-u27,Colors,p1-u27,Colors,1,
lightning,Lightning,word,p1-u63,Weather,p1-u63,Weather,1,
like,Like,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
lion,Lion,word,p1-u60,Animals,p1-u60,Animals,1,
lipread,Lipread,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
little,Little,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
livingroom,Living Room,word,p1-u30,My Home,p1-u30,My Home,1,
lonely,Lonely,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
lost,Lost,word,p1-u23,On the Move,p1-u23;p1-u56,On the Move;Getting There,2,
love,Love,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
lunch,Lunch,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
m,M,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
make,Make,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
man,Man,word,p1-u18,Family & People,p1-u18,Family & People,1,
many,Many,word,p1-u05,Meet People,p1-u05;p1-u29,Meet People;Size & Amount,2,
math,Math,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
maybe,Maybe,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
me,Me,word,p1-u45,Health & Town,p1-u45;p1-u32,Health & Town;At Home,2,
meat,Meat,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
medicine,Medicine,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
meet,Meet,word,p1-u01,Getting Started,p1-u01;p1-u05,Getting Started;Meet People,2,
meeting,Meeting,word,p1-u59,Work Life,p1-u59,Work Life,1,
mexico,Mexico,word,p1-u68,Countries,p1-u68,Countries,1,
milk,Milk,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
minute,Minute,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
mirror,Mirror,word,p1-u32,At Home,p1-u32,At Home,1,
monday,Monday,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
money,Money,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
monkey,Monkey,word,p1-u60,Animals,p1-u60,Animals,1,
month,Month,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
moon,Moon,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
more,More,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
morning,Morning,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
mother,Mother,word,p1-u18,Family & People,p1-u18,Family & People,1,
motorcycle,Motorcycle,word,p1-u56,Getting There,p1-u56,Getting There,1,
mountain,Mountain,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
mouse,Mouse,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
mouth,Mouth,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
move,Move,word,p1-u23,On the Move,p1-u23,On the Move,1,
much,Much,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
music,Music,word,p1-u66,Music & Art,p1-u66,Music & Art,1,
my,My,word,p1-u01,Getting Started,p1-u01;p1-u03;p1-u10,Getting Started;You & Me;The Alphabet,3,
mynameis,My Name Is,phrase,p1-u01,Getting Started,p1-u01;p1-u03;p1-u10,Getting Started;You & Me;The Alphabet,3,my;name
myself,Myself,word,p1-u05,Meet People,p1-u05,Meet People,1,
n,N,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
name,Name,word,p1-u01,Getting Started,p1-u01;p1-u03;p1-u10,Getting Started;You & Me;The Alphabet,3,
namesign,Name Sign,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
near,Near,word,p1-u23,On the Move,p1-u23,On the Move,1,
neck,Neck,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
necklace,Necklace,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
need,Need,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
nephew,Nephew,word,p1-u18,Family & People,p1-u18,Family & People,1,
nervous,Nervous,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
nevermind,Never Mind,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
nice,Nice,word,p1-u01,Getting Started,p1-u01;p1-u05,Getting Started;Meet People,2,
nicetomeetyou,Nice To Meet You,phrase,p1-u01,Getting Started,p1-u01,Getting Started,1,nice;meet;you
nicetoseeyou,Nice To See You,phrase,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,nice;see;you
niece,Niece,word,p1-u18,Family & People,p1-u18,Family & People,1,
night,Night,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
nine,Nine,word,p1-u15,Numbers,p1-u15,Numbers,1,
nineoneone,911,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
no,No,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
noon,Noon,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
nose,Nose,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
notyet,Not Yet,phrase,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,no;notyet
now,Now,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
nurse,Nurse,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
o,O,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
ocean,Ocean,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
ok,Ok,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
one,One,word,p1-u15,Numbers,p1-u15,Numbers,1,
onemoretime,One More Time,phrase,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,one;more;again
onion,Onion,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
oops,Oops,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
or,Or,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
orangecolor,Orange Color,word,p1-u27,Colors,p1-u27,Colors,1,
orangefruit,Orange Fruit,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
our,Our,word,p1-u03,You & Me,p1-u03,You & Me,1,
p,P,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
pain,Pain,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
paint,Paint,word,p1-u66,Music & Art,p1-u66,Music & Art,1,
pants,Pants,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
paper,Paper,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
parents,Parents,word,p1-u18,Family & People,p1-u18,Family & People,1,
park,Park,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
party,Party,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
pay,Pay,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
pen,Pen,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
people,People,word,p1-u05,Meet People,p1-u05,Meet People,1,
percent,Percent,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
person,Person,word,p1-u05,Meet People,p1-u05,Meet People,1,
phone,Phone,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
piano,Piano,word,p1-u66,Music & Art,p1-u66,Music & Art,1,
pig,Pig,word,p1-u60,Animals,p1-u60,Animals,1,
pineapple,Pineapple,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
pink,Pink,word,p1-u27,Colors,p1-u27,Colors,1,
pizza,Pizza,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
please,Please,word,p1-u01,Getting Started,p1-u01;p1-u45,Getting Started;Health & Town,2,
pleasehelpme,Please Help Me,phrase,p1-u73,Getting Help,p1-u73;p1-u45,Getting Help;Health & Town,2,please;help;me
pleasesignslower,Please Sign Slower,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,please;sign;slow
police,Police,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
potato,Potato,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
practice,Practice,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
price,Price,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
